Politician,Year,Party,House,Total,Travelling Allowance,Overseas Travel,Domestic Scheduled Fares,Charter,Car Costs,Office Facilities,Office Fit Outs,Office Administrative Costs,Telecommunications,Family Travel Costs
George Christensen,2013,LNP,MP,496407,20098,0,41870,15375,23575,107123,2766,268258,13709,3632
Glenn Sterle,2013,ALP,Senator,362963,31624,0,85019,1593,23933,118444,192,75343,16318,10497
Graham Perrett,2013,ALP,MP,478991,12336,-6,21555,0,21776,186935,0,214192,11888,10315
Greg Combet,2013,ALP,MP,430598,17532,72509,19028,0,19734,112656,0,180041,8628,470
Greg Hunt,2013,Liberal,MP,507858,30375,0,55942,11950,73998,136231,0,175307,17837,6218
Harry Jenkins,2013,ALP,MP,325759,12220,67615,11056,0,11682,80904,0,126038,7853,8391
Helen Kroger,2013,Liberal,Senator,382501,23423,5566,31819,1637,32894,188740,0,81195,14842,2385
Helen Polley,2013,ALP,Senator,343008,21431,28469,36798,12995,26160,95350,7320,81908,28216,4361
Ian Goodenough,2013,Liberal,MP,110972,7772,0,13595,0,3253,59169,6046,7885,1416,11836
Ian Macdonald,2013,Liberal,Senator,600501,47113,5986,70683,8045,44208,120258,194156,76698,12369,20985
Ian Macfarlane,2013,LNP,MP,539843,38366,19272,81912,0,57873,154172,0,167479,11802,8966
Jacinta Collins,2013,ALP,Senator,555074,30995,110081,81883,0,61912,159257,375,92816,8644,9112
Jamie Briggs,2013,Liberal,MP,542867,30444,0,81221,0,51379,85992,12220,263718,11643,6250
Jan McLucas,2013,ALP,Senator,492485,36699,52865,99552,21696,53830,135183,0,73809,9681,9169
Jane Prentice,2013,LNP,MP,382612,17220,6797,25348,0,20650,156923,0,138596,11681,5398
Janelle Saffin,2013,ALP,MP,381426,13299,3703,14432,0,19897,78088,0,234755,13997,3254
Jason Clare,2013,ALP,MP,549479,16086,24859,44435,0,35166,190559,0,222340,12113,3921
Jason Wood,2013,Liberal,MP,60914,5360,0,5217,0,472,35204,3402,6318,1656,3287
Jenny Macklin,2013,ALP,MP,677283,25127,6489,73959,0,53521,203505,11516,287061,8905,7200
Jill Hall,2013,ALP,MP,318112,20257,398,13435,0,7557,68173,420,191842,15110,920
